date,tag,title,link
2022/02/18,container,「 取代 Docker Desktop 的高效率開發環境」,https://www.facebook.com/110694344098040/posts/470851184749019/
2022/02/16,introduction,「 Kubernetes 四種不同開發環境的比較」,https://www.facebook.com/110694344098040/posts/469625948204876/
2022/02/14,introduction,「 談談遷移應用程式到  Kubernetes 內的失敗經驗談」,https://www.facebook.com/110694344098040/posts/468312305002907/
2022/02/11,others,「GitHub 上常常看到的奇妙  commit 到底是什麼？」,https://www.facebook.com/110694344098040/posts/466454705188667/
2022/02/09,tools,「透過一點小技巧讓你的 Makefile 有一個更好的 Help說明」,https://www.facebook.com/110694344098040/posts/465179208649550/
2022/02/07,tools,「視覺化系統內 iptables 規則」,https://www.facebook.com/110694344098040/posts/463989852101819/
2022/02/04,others,「如何用 2297 個 Linux Kernel Patches 來重新整理所有的 header file 並提升整個 Kernel 建置時間高達 78%」,https://www.facebook.com/110694344098040/posts/462101998957271/
2022/02/02,tools,「如何使用 jq 讓你的 kubectl更為強大」,https://www.facebook.com/110694344098040/posts/461299162370888/
2022/01/27,others,「PwnKit, 長達 12 年可以讓一般使用者輕鬆變成 Root 的 CVE」,https://www.facebook.com/110694344098040/posts/457303766103761/
2022/01/24,other,「Linux 5.17 將使用 BLAKE2s 來替代 SAH1 來達到更安全更快速的隨機亂數產生器」,https://www.facebook.com/110694344098040/posts/455424192958385/
2022/01/21,introduction,「Kubernetes 內透過 DNS-01 處理 wildcard TLS 的兩三事」,https://www.facebook.com/110694344098040/posts/453574999809971/
2022/01/19,cicd,「透過 Crossplane 與 ArgoCD 來達成應用程式與基礎建設的 GitOps 部署方式」,https://www.facebook.com/110694344098040/posts/452223709945100/
2022/01/17,cicd,「The pains of GitOps 1.0」,https://www.facebook.com/110694344098040/posts/451024380065033/
2022/01/13,introduction,「Kubernetes system-reserved kube-reserved cgroup 與 capacity allocatable 的複雜關係」,https://www.facebook.com/110694344098040/posts/448691766964961/
2022/01/11,other,「NPM 的 colors modules 打亂一堆人...」,https://www.facebook.com/110694344098040/posts/447439463756858/
2022/01/10,usecases,「2021年回顧，因為 DB 的效能的爭論所以我女友跟我分手了....」,https://www.facebook.com/110694344098040/posts/446622227171915/
2022/01/09,tool,「使用 OpenKruise v1.0 提供更進階的 workload 部署與升級」,https://www.facebook.com/110694344098040/posts/446029147231223/
2022/01/07,introduction,「透過 Kubefarm 來自動化幫實體機器打造基於 Kubernetes in Kubernetes 的 Kubernetes 環境」,https://www.facebook.com/110694344098040/posts/444802554020549/
2022/01/04,usecases,「Meta 如何打造一個供多團隊使用的 SLI/SLO 設定與觀測平台」,https://www.facebook.com/110694344098040/posts/442860054214799/
2022/01/02,others,「多年工作經驗總是搞砸電話面試， why ?」,https://www.facebook.com/110694344098040/posts/441548271012644/
2021/12/30,others, Anti-Corruption 模式介紹, https://www.facebook.com/technologynoteniu/posts/440134991153972
2021/12/28,others, 設計 Dating App 的系統思路, https://www.facebook.com/technologynoteniu/posts/438859757948162
2021/12/26,others, Ambassador 模式介紹,https://www.facebook.com/technologynoteniu/posts/437640171403454
2021/12/24,tool, 該停止使用 python3.6了,https://www.facebook.com/technologynoteniu/posts/436364391531032
2021/12/22,usecases, 工作 20 年的系統架構原則談, https://www.facebook.com/technologynoteniu/posts/435021938331944
2021/12/20,others, 遊戲設計中的人物打造過程, https://www.facebook.com/technologynoteniu/posts/433800235120781
2021/12/18,container, Container Dockerfile 中的 Shell/Exec 格式差異, https://www.facebook.com/technologynoteniu/posts/432574848576653
2021/12/16,others, Bash 中的 Signal 介紹文, https://www.facebook.com/technologynoteniu/posts/431323882035083
2021/12/14,usecases, Infrastructure 的經驗談, https://www.facebook.com/technologynoteniu/posts/430069308827207
2021/12/12,container, 建置 Container 中要注意的事項, https://www.facebook.com/technologynoteniu/posts/428778022289669
2021/12/09,others, log4j 安全性漏洞, https://www.facebook.com/technologynoteniu/posts/427014239132714
2021/12/09,others, 四人幫設計模式的歷史探討, https://www.facebook.com/technologynoteniu/posts/426901465810658
2021/12/07,usecases, Grafana 安全性漏洞, https://www.facebook.com/technologynoteniu/posts/425501989283939
2021/12/06,usecases, MySQL 員工離職心得文, https://www.facebook.com/technologynoteniu/posts/425096492657822
2021/12/05,tool, 重構的教學網站，包含各語言的實作範例, https://www.facebook.com/technologynoteniu/posts/424420129392125
2021/12/03,others, Linux Kernel 關於 Lock 的 patch, https://www.facebook.com/technologynoteniu/posts/423238779510260
2021/12/01,others, 遊戲開發的基本概念，2D/3D/2.5D, https://www.facebook.com/technologynoteniu/posts/421964732970998
2021/11/28,others, 開發類 Whatsapp 的可能架構探討, https://www.facebook.com/technologynoteniu/posts/420063863161085
2021/11/26,introduction, Dockershim 即將移除, https://www.facebook.com/technologynoteniu/posts/418869913280480
2021/11/24,container, Container 底層的 cgroup 介紹, https://www.facebook.com/technologynoteniu/posts/417602396740565
2021/11/20,others, 打造一個 TinyURL 系統的背後思路, https://www.facebook.com/technologynoteniu/posts/416271590206979
2021/11/20,usecases, LinkedIn 如何透過k8s打造一個遠端開發環境, https://www.facebook.com/technologynoteniu/posts/414914280342710
2021/11/18,cicd, Flux 內的資安提升方式, https://www.facebook.com/technologynoteniu/posts/413598527140952
2021/11/16,network, Linux Kernel 關於網路效能提升的patch, https://www.facebook.com/technologynoteniu/posts/412232510610887
2021/11/15,tool, Airflow 與 Prefect 的比較, https://www.facebook.com/technologynoteniu/posts/411582814009190
2021/11/13,others, 10 個微服務架構的實戰分享, https://www.facebook.com/technologynoteniu/posts/410318114135660
2021/11/11,others, 分散式 cache 的設計思路, https://www.facebook.com/technologynoteniu/posts/408957307605074
2021/11/09,tool, 三個自動化好用工具, https://www.facebook.com/technologynoteniu/posts/407666134400858
2021/11/06,usecases, LinkedIn 探討內部 A/B Testing 的架構, https://www.facebook.com/technologynoteniu/posts/405703441263794
2021/11/04,others, 為什麼Gitlab 上市估值太高, https://www.facebook.com/technologynoteniu/posts/404344784732993
2021/11/02,introduction, F5 繼續分享如何選擇合適的 Ingress Controller, https://www.facebook.com/technologynoteniu/posts/402992384868233
2021/10/31,introduction, F5 分享如何選擇一個合適的 Ingress Controller, https://www.facebook.com/technologynoteniu/posts/401729838327821
